Figure Type: line chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Flow chart","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Tree
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Tree","closed-ended infinite answer set visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.65","0.89"
"Tree","closed-ended infinite answer set non-visual","0.32","0.2","0.75","0.32","0.2","0.75","0.79","0.7","0.9"
"Tree","closed-ended finite answer set binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Tree","closed-ended finite answer set binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.65","0.89"
"Tree","closed-ended finite answer set non-binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.65","0.89"
"Tree","closed-ended finite answer set non-binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.65","0.89"
"Tree","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Tree,Graph
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Tree,Graph","closed-ended infinite answer set visual","0.0","0.0","0.0","0.0","0.0","0.0","0.78","0.76","0.79"
"Tree,Graph","closed-ended infinite answer set non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.65","0.89"
"Tree,Graph","closed-ended finite answer set binary visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.64","0.89"
"Tree,Graph","closed-ended finite answer set binary non-visual","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.64","0.89"
"Tree,Graph","closed-ended finite answer set non-binary visual","0.3","0.18","1.0","0.3","0.18","1.0","0.81","0.7","0.97"
"Tree,Graph","closed-ended finite answer set non-binary non-visual","0.3","0.18","1.0","0.3","0.18","1.0","0.8","0.69","0.96"
"Tree,Graph","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Illustrative diagram
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Illustrative diagram","closed-ended infinite answer set visual","0.0","0.0","0.0","0.0","0.0","0.0","0.82","0.76","0.9"
"Illustrative diagram","closed-ended infinite answer set non-visual","0.22","0.12","1.0","0.22","0.12","1.0","0.74","0.66","0.83"
"Illustrative diagram","closed-ended finite answer set binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Illustrative diagram","closed-ended finite answer set binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Illustrative diagram","closed-ended finite answer set non-binary visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.65","0.89"
"Illustrative diagram","closed-ended finite answer set non-binary non-visual","0.11","0.06","1.0","0.11","0.06","1.0","0.75","0.64","0.89"
"Illustrative diagram","unanswerable","0.93","0.88","1.0","0.93","0.88","1.0","0.94","0.89","0.99"


Figure Type: Line Chart,Scatter Plot
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
